H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
1,4,15,2,1,5,2020,3,33,80000,0,80000,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,0,0,0,285000
1,4,16,2,1,4,2020,3,41,312000,0,312000,0,0,0,0,0,30000,0,2140,0,32140,0,0,0,0,0,0,0,0,0,700000
2,4,10,0,1,3,2020,3,41,55000,45000,100000,0,0,0,0,900,0,0,216,0,10716,0,0,0,9600,0,0,0,0,0,0
2,4,14,1,2,4,2020,3,41,69000,0,69000,0,0,10240,0,0,0,0,1213,0,38261,0,0,0,0,26808,0,0,0,0,0
1,4,16,2,1,4,2020,3,41,134000,0,134000,0,0,0,0,20000,0,0,15200,0,35200,0,0,0,0,0,0,0,0,0,150000
2,4,11,1,1,4,2020,3,23,46000,5000,51000,0,0,4200,0,0,1600,0,0,0,5800,0,0,0,0,0,0,0,0,0,0
1,4,1,0,2,2,2020,3,21,48648,0,48648,0,0,0,0,0,0,0,201,0,3481,0,0,0,0,3280,0,0,0,0,340000
1,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,16,0,1,1,2020,3,31,75000,0,75000,0,0,0,0,0,0,0,1310,0,1310,0,0,0,0,0,0,0,0,0,625000
1,4,9,1,1,6,2020,3,19,45000,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
2,4,7,0,1,1,2020,3,19,45000,0,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
