H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
1,1,15,0,1,2,2020,3,41,88000,3000,91000,0,0,0,0,0,0,0,203,0,19403,0,0,0,0,19200,0,0,0,0,1350000
2,1,14,0,1,2,2020,3,13,32000,0,32000,0,0,0,0,238,0,0,2,0,240,0,0,0,0,0,0,0,0,0,0
1,1,12,1,1,4,2020,3,41,160000,0,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540000
1,1,15,1,1,2,2020,3,41,147000,0,147000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650000
1,1,9,0,1,5,2020,3,41,103000,0,102900,-100,0,0,0,0,0,0,400,0,20826,0,0,0,0,18426,0,0,0,0,200000
1,1,9,0,1,2,2020,3,13,0,0,0,0,0,0,0,0,0,0,0,0,30084,0,2796,0,0,27288,0,0,0,0,190000
2,1,16,0,1,1,2020,3,41,183525,0,183525,0,0,0,0,25970,0,0,15818,0,41788,0,0,0,0,0,0,0,0,0,0
1,1,14,0,1,1,2020,3,25,60000,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
2,1,7,0,1,1,2020,3,7,0,0,0,0,0,0,0,82,0,0,2252,0,15658,0,6000,0,0,5226,0,0,0,0,0
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,13,0,1,1,2020,3,11,0,0,0,0,0,0,0,0,0,0,0,0,27108,0,0,0,0,27108,0,0,0,0,0
1,1,11,0,2,2,2020,3,41,103400,0,103400,0,0,0,0,20,0,0,20232,0,20252,0,0,0,0,0,0,0,0,0,450000
2,1,15,2,1,3,2020,3,41,100000,0,100000,0,0,6864,0,0,0,0,3002,0,9866,0,0,0,0,0,0,0,0,0,0
1,1,8,2,1,3,2020,3,11,11300,0,11300,0,0,5000,0,0,0,0,0,0,15854,0,0,0,0,10854,0,0,0,0,85000
1,1,13,0,1,2,2020,3,22,54000,0,54000,0,0,0,0,0,0,0,215,0,215,0,0,0,0,0,0,0,0,0,140
2,1,15,0,2,2,2020,3,41,169000,0,169000,0,0,0,0,0,0,0,1135,0,1135,0,0,0,0,0,0,0,0,0,0
2,1,9,1,2,3,2020,3,41,95000,0,95000,0,0,6960,0,0,0,0,3777,0,36837,0,0,0,0,26100,0,0,0,0,0
2,1,4,0,1,3,2020,3,41,130000,0,130000,0,0,0,0,0,0,0,356,0,356,0,0,0,0,0,0,0,0,0,0
1,1,16,2,1,4,2020,3,41,210000,0,210000,0,0,0,0,0,0,0,9064,0,9064,0,0,0,0,0,0,0,0,0,350000
1,1,16,1,1,4,2020,3,41,177122,0,177122,0,0,0,0,500,0,0,1875,0,4625,0,0,2250,0,0,0,0,0,0,150000
1,1,13,1,1,4,2020,3,20,39480,0,39480,0,0,0,0,0,0,0,10055,0,8255,0,0,-1800,0,0,0,0,0,0,180000
1,1,16,1,1,3,2020,3,41,245000,0,245000,0,0,0,0,0,0,0,5504,0,5504,0,0,0,0,0,0,0,0,0,700000
1,1,13,0,1,2,2020,3,21,0,0,0,0,0,0,0,0,0,0,2028,0,51228,0,12000,0,0,29700,0,0,0,0,375000
1,1,16,0,1,3,2020,3,41,194000,-2000,192000,0,0,0,0,0,24000,0,3347,0,27347,0,0,0,0,0,0,0,0,0,372000
1,1,10,0,1,2,2020,3,21,35000,0,35000,0,0,0,0,0,0,0,515,0,15095,0,0,0,0,14580,0,0,0,0,249000
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,15,1,1,2,2020,3,41,115000,0,115000,0,0,13200,0,1000,0,0,235,0,14435,0,0,0,0,0,0,0,0,0,350000
1,1,16,0,2,2,2020,3,22,53000,0,53000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000
2,1,10,0,1,3,2020,3,22,18000,6420,24420,0,0,0,0,0,0,0,2,0,28982,0,0,900,0,28080,0,0,0,0,0
2,1,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,7,0,1,1,2020,3,9,0,2,2,0,0,0,0,1,0,0,2010,0,21731,0,0,19720,0,0,0,0,0,0,375000
1,1,16,1,2,4,2020,3,41,160000,0,160000,0,0,0,0,0,0,0,390,0,390,0,0,0,0,0,0,0,0,0,560000
1,1,11,0,2,2,2020,3,41,94000,0,94000,0,0,0,0,0,0,0,8071,0,8071,0,0,0,0,0,0,0,0,0,240000
1,1,15,2,1,4,2020,3,41,148000,0,148000,0,0,0,0,0,0,0,65151,0,65151,0,0,0,0,0,0,0,0,0,130000
1,1,12,0,1,2,2020,3,25,40000,0,40000,0,0,0,0,0,0,0,1919,0,21479,0,0,0,0,0,0,0,19560,0,200000
1,1,15,0,1,4,2020,3,41,140000,0,140000,0,0,0,0,0,0,0,7010,0,7010,0,0,0,0,0,0,0,0,0,430000
1,1,13,1,1,2,2020,3,25,60000,0,60000,0,0,0,0,0,0,0,1017,0,1017,0,0,0,0,0,0,0,0,0,160000
1,1,12,0,1,1,2020,3,21,0,0,0,0,0,0,0,0,0,0,0,0,51000,0,28000,0,0,23000,0,0,0,0,400000
2,1,3,0,1,1,2020,3,4,0,0,0,0,0,0,0,0,0,0,0,0,9600,0,0,0,9600,0,0,0,0,0,0
1,1,14,5,2,8,2020,3,38,93000,0,93000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138000
2,1,11,2,1,5,2020,3,7,17400,0,17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
