H_TENURE,GEREG,HEFAMINC,HH5TO18,HNUMFAM,H_NUMPER,H_YEAR,H_MONTH,HHINC,HWSVAL,HSEVAL,HEARNVAL,HFRVAL,HANNVAL,HCSPVAL,HDISVAL,HDIVVAL,HEDVAL,HFINVAL,HINTVAL,HOIVAL,HOTHVAL,HPAWVAL,HPENVAL,HRNTVAL,HSSIVAL,HSSVAL,HSURVAL,HUCVAL,HVETVAL,HWCVAL,HPROP_VAL
1,3,15,0,2,2,2020,3,41,114400,0,114400,0,0,0,0,20,0,0,51,0,71,0,0,0,0,0,0,0,0,0,280000
1,3,11,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,14,0,1,3,2020,3,14,34000,0,34000,0,0,0,0,0,400,0,4,0,404,0,0,0,0,0,0,0,0,0,0
2,3,7,0,1,1,2020,3,20,49000,0,49000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,13,0,1,1,2020,3,27,65002,0,65002,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,0,0,0,200000
1,3,16,2,3,6,2020,3,34,80500,4000,84500,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,90000
1,3,16,0,1,2,2020,3,41,0,0,0,0,0,0,0,0,0,0,76000,0,280839,0,18000,10000,0,46839,0,0,0,0,990000
2,3,13,0,4,4,2020,3,41,110000,0,110000,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0
1,3,15,1,1,3,2020,3,41,620000,0,620000,0,0,0,0,100,0,0,1736,0,1836,0,0,0,0,0,0,0,0,0,575000
1,3,11,0,1,3,2020,3,30,22000,0,22000,0,0,0,0,0,0,0,2000,0,51092,0,15600,0,0,30192,0,0,0,0,150000
1,3,16,2,1,5,2020,3,41,309000,1,309001,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,700000
2,3,12,0,1,3,2020,3,27,67000,0,67000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-1,0,0,0,2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,12,0,1,1,2020,3,10,0,0,0,0,0,0,0,0,0,0,0,0,23652,0,0,0,0,23652,0,0,0,0,17500
